id,plainvalue,value,created,updated,trackedentityattributeid,trackedentityinstanceid
11,شريف,شريف,2022-10-18T00:10:58,2022-10-17T19:59:58,11,11
12,خليل,خليل,2022-10-18T06:20:33,2022-10-18T10:32:01,12,11
13,سعيد,سعيد,2022-10-17T23:20:45,2022-10-18T04:34:38,13,11
14,السنباني,السنباني,2022-10-18T07:42:08,2022-10-18T13:50:16,14,11
15,حميد,حميد,2022-10-18T00:10:58,2022-10-17T19:59:58,11,12
16,احمد,احمد,2022-10-18T06:20:33,2022-10-18T10:32:01,12,12
17,علي,علي,2022-10-17T23:20:45,2022-10-18T04:34:38,13,12
18,ابوعين,ابوعين,2022-10-18T07:42:08,2022-10-18T13:50:16,14,12
19,قائد,قائد,2022-10-18T00:10:58,2022-10-17T19:59:58,11,13
20,سلطان,سلطان,2022-10-18T06:20:33,2022-10-18T10:32:01,12,13
21,سيف,سيف,2022-10-17T23:20:45,2022-10-18T04:34:38,13,13
22,القباطي,القباطي,2022-10-18T07:42:08,2022-10-18T13:50:16,14,13
23,سيف,سيف,2022-10-18T00:10:58,2022-10-17T19:59:58,11,14
24,مختار,مختار,2022-10-18T06:20:33,2022-10-18T10:32:01,12,14
25,هيثم,هيثم,2022-10-17T23:20:45,2022-10-18T04:34:38,13,14
26,الذبحاني,الذبحاني,2022-10-18T07:42:08,2022-10-18T13:50:16,14,14
27,احمد,احمد,2022-10-18T00:10:58,2022-10-17T19:59:58,11,15
28,محمد,محمد,2022-10-18T06:20:33,2022-10-18T10:32:01,12,15
29,احمد,احمد,2022-10-17T23:20:45,2022-10-18T04:34:38,13,15
30,الأعضب,الأعضب,2022-10-18T07:42:08,2022-10-18T13:50:16,14,15
31,زيد,زيد,2022-10-18T00:10:58,2022-10-17T19:59:58,11,16
32,علي,علي,2022-10-18T06:20:33,2022-10-18T10:32:01,12,16
33,حسن,حسن,2022-10-17T23:20:45,2022-10-18T04:34:38,13,16
34,السلامي,السلامي,2022-10-18T07:42:08,2022-10-18T13:50:16,14,16
35,زيد,زيد,2022-10-18T00:10:58,2022-10-17T19:59:58,11,17
36,علي,علي,2022-10-18T06:20:33,2022-10-18T10:32:01,12,17
37,قاسم,قاسم,2022-10-17T23:20:45,2022-10-18T04:34:38,13,17
38,علم,علم,2022-10-18T07:42:08,2022-10-18T13:50:16,14,17
39,علي,علي,2022-10-18T00:10:58,2022-10-17T19:59:58,11,18
40,يحي,يحي,2022-10-18T06:20:33,2022-10-18T10:32:01,12,18
41,علي,علي,2022-10-17T23:20:45,2022-10-18T04:34:38,13,18
42,العرحي,العرحي,2022-10-18T07:42:08,2022-10-18T13:50:16,14,18
43,احمد,احمد,2022-10-18T00:10:58,2022-10-17T19:59:58,11,19
44,عبدالله,عبدالله,2022-10-18T06:20:33,2022-10-18T10:32:01,12,19
45,يحي,يحي,2022-10-17T23:20:45,2022-10-18T04:34:38,13,19
46,الروضي,الروضي,2022-10-18T07:42:08,2022-10-18T13:50:16,14,19
47,يحي,يحي,2022-10-18T00:10:58,2022-10-17T19:59:58,11,20
48,عبادي,عبادي,2022-10-18T06:20:33,2022-10-18T10:32:01,12,20
49,عبده,عبده,2022-10-17T23:20:45,2022-10-18T04:34:38,13,20
50,طميم,طميم,2022-10-18T07:42:08,2022-10-18T13:50:16,14,20
